date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:04	283/283	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jul%202015%2014:29:04%20GMT	http://172.17.0.2/robots.txt		(from )
10:29:04	7348/7348	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202015%2014:29:04%20GMT	http://172.17.0.2/wordpress/	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/index.html	(from )
10:29:10	5842/5842	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202015%2014:03:19%20GMT	http://gmpg.org/xfn/11	/home/chyeh/githubPages/wordpressTest/wordpressTest/gmpg.org/xfn/11.html	(from http://172.17.0.2/wordpress/)
10:29:10	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2015%20Jul%202015%2014:29:10%20GMT	http://172.17.0.2/wordpress/xmlrpc.php	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/xmlrpc.1.delayed	(from http://172.17.0.2/wordpress/)
10:29:11	38702/38702	---M-Z	200	added ('OK')	text/css	etag:%22972e-5199bf3a73480-gzip%22	http://172.17.0.2/wordpress/wp-content/themes/MonsterBear/style.css?ver=4.3-beta2	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/wp-content/themes/MonsterBear/stylee819.css	(from http://172.17.0.2/wordpress/)
10:29:11	27737/27737	---M-Z	200	added ('OK')	text/css	etag:%226c59-5199bf3a73480-gzip%22	http://172.17.0.2/wordpress/wp-content/themes/MonsterBear/css/genericons/genericons.css?ver=4.3-beta2	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/wp-content/themes/MonsterBear/css/genericons/genericonse819.css	(from http://172.17.0.2/wordpress/)
10:29:11	1714/1714	---M-Z	200	added ('OK')	application/rss+xml	etag:%2219b83d17eaa6da15f79d81821ef999c7-gzip%22	http://172.17.0.2/wordpress/index.php/feed/	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/index.php/feed/index.html	(from http://172.17.0.2/wordpress/)
10:29:11	1493/1493	---M-Z	200	added ('OK')	application/rss+xml	etag:%221df2f69ed29a3d914657307148bff47f-gzip%22	http://172.17.0.2/wordpress/index.php/comments/feed/	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/index.php/comments/feed/index.html	(from http://172.17.0.2/wordpress/)
10:29:12	775/775	---MC-	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202015%2014:03:21%20GMT	http://fonts.googleapis.com/css?family=Droid+Sans%3A400%2C700%7CFrancois+One&subset=latin%2Clatin-ext	/home/chyeh/githubPages/wordpressTest/wordpressTest/fonts.googleapis.com/css00ca.css	(from http://172.17.0.2/wordpress/)
10:29:12	7200/7200	---M-Z	200	added ('OK')	application/javascript	etag:%221c20-4e232cc058a80-gzip%22	http://172.17.0.2/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://172.17.0.2/wordpress/)
10:29:12	3678/3678	---M-Z	200	added ('OK')	application/javascript	etag:%22e5e-5199bf3a73480-gzip%22	http://172.17.0.2/wordpress/wp-content/themes/MonsterBear/js/navigation.js?ver=4.3-beta2	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/wp-content/themes/MonsterBear/js/navigatione819.js	(from http://172.17.0.2/wordpress/)
10:29:12	753/753	---M-Z	200	added ('OK')	text/xml	date:Wed,%2015%20Jul%202015%2014:29:12%20GMT	http://172.17.0.2/wordpress/xmlrpc.php?rsd	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/xmlrpc0db0.php	(from http://172.17.0.2/wordpress/)
10:29:13	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4ae0386e00-gzip%22	http://172.17.0.2/wordpress/wp-includes/wlwmanifest.xml	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/wp-includes/wlwmanifest.xml	(from http://172.17.0.2/wordpress/)
10:29:13	95977/95977	---M-Z	200	added ('OK')	application/javascript	etag:%22176e9-5198bbbb67a00-gzip%22	http://172.17.0.2/wordpress/wp-includes/js/jquery/jquery.js?ver=1.11.3	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/wp-includes/js/jquery/jqueryc1d8.js	(from http://172.17.0.2/wordpress/)
10:29:13	7186/7186	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202015%2014:29:13%20GMT	http://172.17.0.2/wordpress/index.php/events/	/home/chyeh/githubPages/wordpressTest/wordpressTest/172.17.0.2/wordpress/index.php/events/index.html	(from http://172.17.0.2/wordpress/)
